ID,IMG,Time,X,Y
21700,8,361.2075,719,580
21701,8,361.2243,700,596
21702,8,361.2409,693,606
21703,8,361.2571,694,608
21704,8,361.2742,695,612
21705,8,361.2903,695,612
21706,8,361.307,693,609
21707,8,361.324,690,606
21708,8,361.3406,689,605
21709,8,361.3566,690,607
21710,8,361.3731,693,609
21711,8,361.3897,692,608
21712,8,361.4063,688,606
21713,8,361.423,687,605
21714,8,361.4394,687,602
21715,8,361.456,693,603
21716,8,361.4732,721,618
21717,8,361.4891,737,629
21718,8,361.5057,764,646
21719,8,361.5222,770,648
21720,8,361.5391,770,645
21721,8,361.5554,770,644
21722,8,361.5719,769,642
21723,9,361.5885,770,642
21724,9,361.6052,772,646
21725,9,361.622,773,647
21726,9,361.6382,774,645
21727,9,361.6547,774,643
21728,9,361.6718,778,638
21729,9,361.6879,790,627
21730,9,361.7044,830,579
21731,9,361.721,854,551
21732,9,361.7376,884,510
21733,9,361.7541,888,501
21734,9,361.7714,890,498
21735,9,361.7872,889,497
21736,9,361.8038,887,496
21737,9,361.8204,887,496
21738,9,361.8371,889,499
21739,9,361.8535,890,499
21740,9,361.8711,890,501
21741,9,361.8867,889,501
21742,9,361.9032,893,496
21743,9,361.9198,905,493
21744,9,361.9365,944,487
21745,9,361.9531,964,485
21746,9,361.9701,986,480
21747,9,361.9861,988,478
21748,9,362.0031,987,478
21749,9,362.0192,988,481
21750,9,362.0358,990,486
21751,9,362.0525,990,487
21752,9,362.0692,990,484
21753,9,362.0855,990,485
21754,9,362.1025,987,487
21755,9,362.1187,988,488
21756,9,362.1353,989,490
21757,9,362.1518,991,488
21758,9,362.1686,991,484
21759,9,362.1849,990,478
21760,9,362.202,989,477
21761,9,362.2181,990,479
21762,9,362.2347,990,479
21763,9,362.2514,990,477
21764,9,362.2678,992,476
21765,9,362.2845,993,473
21766,9,362.3009,992,472
21767,9,362.3175,990,470
21768,9,362.3341,989,470
21769,9,362.3508,993,469
21770,9,362.3672,994,468
21771,9,362.3839,993,462
21772,9,362.4004,991,459
21773,9,362.4169,990,456
21774,9,362.4335,989,456
21775,9,362.4501,988,456
21776,9,362.4666,988,456
21777,9,362.4831,988,456
21778,9,362.4998,987,456
21779,9,362.5163,985,457
21780,9,362.5328,983,457
21781,9,362.5591,980,455
21782,9,362.5661,979,454
21783,9,362.5829,982,460
21784,9,362.5992,985,470
21785,9,362.6157,990,493
21786,9,362.6323,991,503
21787,9,362.6488,990,510
21788,9,362.6655,991,511
21789,9,362.6822,992,515
21790,9,362.6985,993,516
21791,9,362.7158,992,514
21792,9,362.7318,992,513
21793,9,362.7482,991,514
21794,9,362.7647,990,516
21795,9,362.7815,987,520
21796,9,362.7979,985,520
21797,9,362.8148,983,521
21798,9,362.8311,983,521
21799,9,362.8477,986,522

21800,9,362.8643,988,524
21801,9,362.8809,989,527
21802,9,362.8974,989,528
21803,9,362.9139,986,537
21804,9,362.9305,984,553
21805,9,362.9478,984,608
21806,9,362.9636,985,635
21807,9,362.9803,990,665
21808,9,362.9968,991,665
21809,9,363.0133,990,662
21810,9,363.0298,990,663
21811,9,363.0464,990,664
21812,9,363.063,992,669
21813,9,363.0797,990,673
21814,9,363.0967,989,673
21815,9,363.1128,987,672
21816,9,363.1293,985,670
21817,9,363.1458,985,668
21818,9,363.1624,986,666
21819,9,363.1791,986,665
21820,9,363.1956,985,664
21821,9,363.2123,986,663
21822,9,363.2288,990,665
21823,9,363.2453,992,666
21824,9,363.2618,992,665
21825,9,363.2784,991,663
21826,9,363.295,995,655
21827,9,363.3115,1000,642
21828,9,363.328,1009,598
21829,9,363.345,1010,573
21830,9,363.3617,1010,539
21831,9,363.3778,1010,534
21832,9,363.3944,1009,532
21833,9,363.4109,1008,532
21834,9,363.4274,1008,532
21835,9,363.4444,1009,531
21836,9,363.4606,1014,529
21837,9,363.4772,1015,527
21838,9,363.4937,1013,525
21839,9,363.5105,1013,524
21840,9,363.5271,1010,521
21841,9,363.5434,1006,513
21842,9,363.56,991,473
21843,9,363.5767,981,448
21844,9,363.5932,968,409
21845,9,363.6097,967,403
21846,9,363.6262,969,398
21847,9,363.643,970,396
21848,9,363.6595,968,393
21849,9,363.6761,968,392
21850,9,363.6928,967,394
21851,9,363.7091,967,396
21852,9,363.7257,966,397
21853,9,363.7423,966,396
21854,9,363.7588,968,393
21855,9,363.7758,970,392
21856,9,363.792,971,389
21857,9,363.8085,973,387
21858,9,363.8251,981,386
21859,9,363.8418,986,387
21860,9,363.8582,992,388
21861,9,363.8749,992,388
21862,9,363.8914,990,389
21863,9,363.9079,990,392
21864,9,363.9245,992,398
21865,9,363.9411,992,397
21866,9,363.9576,992,393
21867,9,363.9742,990,392
21868,9,363.9908,987,393
21869,9,364.0073,987,394
21870,9,364.024,989,397
21871,9,364.0409,989,398
21872,9,364.057,989,402
21873,9,364.0737,989,403
21874,9,364.0902,991,404
21875,9,364.1066,989,402
21876,9,364.1232,985,398
21877,9,364.1398,972,383
21878,9,364.1565,964,376
21879,9,364.1734,955,364
21880,9,364.1896,952,361
21881,9,364.2061,947,359
21882,9,364.2227,946,358
21883,9,364.2395,945,358
21884,9,364.2557,945,359
21885,9,364.2723,944,363
21886,9,364.2891,940,363
21887,9,364.3055,871,346
21888,9,364.3226,820,330
21889,9,364.3385,721,300
21890,9,364.3551,692,290
21891,9,364.372,689,284
21892,9,364.3884,690,283
21893,9,364.4048,691,284
21894,9,364.4214,689,285
21895,9,364.4379,689,286
21896,9,364.4545,689,288
21897,9,364.4711,689,290
21898,9,364.4876,688,291
21899,9,364.5042,685,291

21900,9,364.5208,684,289
21901,9,364.5375,684,283
21902,9,364.5539,685,280
21903,9,364.5705,691,275
21904,9,364.5871,695,274
21905,9,364.6039,701,274
21906,9,364.6201,701,274
21907,9,364.6374,703,274
21908,9,364.6533,704,274
21909,9,364.6699,704,272
21910,9,364.6865,703,272
21911,9,364.7032,701,273
21912,9,364.7195,700,272
21913,9,364.7362,700,273
21914,9,364.753,703,273
21915,9,364.7701,751,292
21916,9,364.7859,802,317
21917,9,364.803,919,378
21918,9,364.819,967,406
21919,9,364.8356,1008,437
21920,9,364.8522,1012,440
21921,9,364.8689,1013,440
21922,9,364.8857,1013,439
21923,9,364.9019,1015,441
21924,9,364.9188,1014,443
21925,9,364.935,1013,447
21926,9,364.9517,1013,449
21927,9,364.9682,1014,453
21928,9,364.9848,1015,455
21929,9,365.0012,1016,456
21930,9,365.0178,1016,455
21931,9,365.0348,1015,451
21932,9,365.0511,1015,450
21933,9,365.0676,1016,452
21934,9,365.0843,1016,453
21935,9,365.1007,1016,458
21936,9,365.1172,1017,459
21937,9,365.1339,1007,469
21938,9,365.1503,997,485
21939,9,365.1672,975,533
21940,9,365.1835,969,557
21941,9,365.2004,968,580
21942,9,365.2166,969,581
21943,9,365.2333,970,580
21944,9,365.2498,969,580
21945,9,365.2668,968,581
21946,9,365.2829,969,579
21947,9,365.2999,969,579
21948,9,365.3161,968,582
21949,9,365.3326,967,582
21950,9,365.3492,966,583
21951,9,365.3659,966,582
21952,9,365.3823,974,574
21953,9,365.3988,984,559
21954,9,365.4155,1007,515
21955,9,365.4322,1016,496
21956,9,365.4485,1022,477
21957,9,365.4651,1021,478
21958,9,365.4817,1023,476
21959,9,365.4983,1025,474
21960,9,365.5149,1027,473
21961,9,365.5314,1027,473
21962,9,365.5479,1026,475
21963,9,365.5645,1026,474
21964,9,365.5818,1025,469
21965,9,365.5977,1024,467
21966,9,365.6142,991,456
21967,9,365.6309,938,437
21968,9,365.6474,783,374
21969,9,365.664,715,343
21970,9,365.6805,635,303
21971,9,365.6974,635,301
21972,9,365.7136,640,304
21973,9,365.7302,640,308
21974,9,365.7468,638,311
21975,9,365.7633,635,310
21976,9,365.7802,639,306
21977,9,365.7965,647,303
21978,9,365.8131,669,299
21979,9,365.8296,680,296
21980,9,365.8462,685,291
21981,9,365.8631,682,289
21982,9,365.8793,679,286
21983,9,365.896,680,286
21984,9,365.9129,683,289
21985,9,365.929,685,289
21986,9,365.9457,684,288
21987,9,365.9623,683,287
21988,9,365.9788,680,285
21989,9,365.9954,673,285
21990,9,366.0119,649,284
21991,9,366.0284,638,284
21992,9,366.0452,627,283
21993,9,366.0616,628,284
21994,9,366.0781,630,285
21995,9,366.0947,627,286
21996,9,366.1114,623,290
21997,9,366.1278,622,292
21998,9,366.1447,621,292
21999,9,366.1609,621,290

