ID,IMG,Time,X,Y
43400,17,720.8684,735,376
43401,17,720.8845,734,375
43402,17,720.9011,734,375
43403,17,720.9178,733,375
43404,17,720.9341,733,375
43405,17,720.9508,734,374
43406,17,720.9673,735,373
43407,17,720.984,734,373
43408,17,721.0004,733,373
43409,17,721.0176,731,372
43410,17,721.0337,730,372
43411,17,721.0502,729,370
43412,17,721.067,729,370
43413,17,721.0833,728,370
43414,17,721.1002,726,371
43415,17,721.1165,722,368
43416,17,721.1331,722,366
43417,17,721.1497,718,377
43418,17,721.1664,714,387
43419,17,721.1828,695,412
43420,17,721.1992,683,420
43421,17,721.2161,675,425
43422,17,721.2324,649,439
43423,17,721.249,649,439
43424,17,721.2655,649,439
43425,17,721.2824,649,439
43426,17,721.2986,649,439
43427,17,721.3151,649,439
43428,17,721.3317,649,439
43429,17,721.3483,649,439
43430,17,721.3649,649,439
43431,17,721.3814,649,439
43432,17,721.3979,649,439
43433,17,721.415,649,439
43434,17,721.4312,649,439
43435,17,721.4477,649,439
43436,17,721.4644,760,378
43437,17,721.481,758,380
43438,17,721.4974,758,382
43439,17,721.5141,756,384
43440,17,721.5306,755,384
43441,17,721.5472,755,382
43442,17,721.5638,754,381
43443,17,721.5803,755,381
43444,17,721.5969,755,381
43445,17,721.6135,755,379
43446,18,721.6303,755,377
43447,18,721.6466,752,374
43448,18,721.6633,661,365
43449,18,721.6798,656,360
43450,18,721.6963,656,358
43451,18,721.7129,657,356
43452,18,721.7294,654,352
43453,18,721.7462,653,352
43454,18,721.7625,653,352
43455,18,721.7791,654,352
43456,18,721.7956,654,350
43457,18,721.8122,652,350
43458,18,721.8293,663,356
43459,18,721.8453,681,364
43460,18,721.8621,746,389
43461,18,721.8784,779,401
43462,18,721.895,815,415
43463,18,721.9125,816,415
43464,18,721.929,819,417
43465,18,721.9448,819,417
43466,18,721.9612,819,416
43467,18,721.9778,818,414
43468,18,721.9946,782,394
43469,18,722.0118,755,382
43470,18,722.0275,688,357
43471,18,722.0443,664,349
43472,18,722.0609,645,342
43473,18,722.0773,643,340
43474,18,722.0945,643,338
