ID,IMG,Time,X,Y
19300,7,321.5915,993,510
19301,8,321.608,992,510
19302,8,321.6247,992,511
19303,8,321.6412,991,511
19304,8,321.6579,990,509
19305,8,321.6743,992,509
19306,8,321.691,994,509
19307,8,321.7075,994,509
19308,8,321.7243,994,509
19309,8,321.7405,992,507
19310,8,321.7572,992,505
19311,8,321.7744,992,503
19312,8,321.791,992,503
19313,8,321.8068,993,504
19314,8,321.8235,993,505
19315,8,321.8399,993,506
19316,8,321.8574,993,506
19317,8,321.8731,993,505
19318,8,321.8896,991,506
19319,8,321.9065,948,521
19320,8,321.9228,906,535
19321,8,321.9401,813,566
19322,8,321.9559,781,577
19323,8,321.9725,758,587
19324,8,321.9892,758,588
19325,8,322.0056,758,589
19326,8,322.0222,758,589
19327,8,322.0387,758,588
19328,8,322.0553,759,587
19329,8,322.0723,762,585
19330,8,322.0884,765,584
19331,8,322.1052,765,585
19332,8,322.1217,765,585
19333,8,322.1381,762,587
19334,8,322.1547,759,588
19335,8,322.1717,759,589
19336,8,322.1878,760,588
19337,8,322.2043,761,586
19338,8,322.2213,760,585
19339,8,322.2375,749,570
19340,8,322.2541,733,543
19341,8,322.2709,691,458
19342,8,322.2877,671,416
19343,8,322.3037,648,364
19344,8,322.3203,646,359
19345,8,322.3369,647,358
19346,8,322.3535,647,358
19347,8,322.37,649,360
19348,8,322.3866,649,361
19349,8,322.4031,652,359
19350,8,322.4199,656,356
19351,8,322.4367,664,350
19352,8,322.4528,668,348
19353,8,322.4694,670,350
19354,8,322.4862,670,351
19355,8,322.5029,673,350
19356,8,322.5192,674,349
19357,8,322.536,673,349
19358,8,322.5524,672,350
19359,8,322.5689,676,358
19360,8,322.5854,682,367
19361,8,322.6023,704,399
19362,8,322.6187,714,414
19363,8,322.6351,752,467
19364,8,322.6517,752,467
19365,8,322.6683,752,467
19366,8,322.6848,657,623
19367,8,322.7015,650,550
19368,8,322.7189,656,513
19369,8,322.7346,670,427
19370,8,322.751,676,391
19371,8,322.7677,674,353
19372,8,322.7842,661,354
19373,8,322.8009,663,354
19374,8,322.8173,664,354
19375,8,322.8343,664,354
19376,8,322.8505,665,354
19377,8,322.8674,665,354
19378,8,322.8841,665,354
19379,8,322.9002,664,353
19380,8,322.9167,663,351
19381,8,322.9333,662,351
19382,8,322.9498,663,350
19383,8,322.9664,664,350
