ID,IMG,Time,X,Y
14400,5,240.7453,897,712
14401,5,240.7625,879,743
14402,5,240.7785,870,763
14403,5,240.795,862,792
14404,5,240.8116,862,797
14405,5,240.8287,863,796
14406,5,240.8447,863,796
14407,5,240.8616,863,797
14408,5,240.8779,863,797
14409,5,240.8945,864,798
14410,5,240.911,866,799
14411,5,240.9276,875,807
14412,5,240.9442,879,812
14413,5,240.9607,887,821
14414,5,240.9776,889,824
14415,5,240.9939,889,827
14416,5,241.0107,889,828
14417,5,241.027,891,829
14418,5,241.0437,892,830
14419,5,241.0603,893,830
14420,5,241.0767,892,829
14421,5,241.0932,892,827
14422,5,241.1103,892,826
14423,5,241.1264,890,825
14424,5,241.1429,889,824
14425,5,241.1597,890,822
14426,5,241.1761,891,821
14427,5,241.1931,892,820
14428,5,241.2094,892,820
14429,5,241.2259,888,818
14430,5,241.2424,881,810
14431,5,241.2594,873,798
14432,5,241.2755,882,809
14433,5,241.2921,840,845
14434,5,241.3088,816,872
14435,5,241.3252,591,869
14436,5,241.3418,624,816
14437,5,241.3586,734,731
14438,5,241.3749,775,693
14439,5,241.3916,802,654
14440,5,241.4081,804,640
14441,5,241.4246,802,630
14442,5,241.4412,802,629
14443,5,241.4581,804,630
14444,5,241.4743,805,631
14445,5,241.491,803,634
14446,5,241.5075,802,635
14447,5,241.5345,802,637
14448,5,241.5407,802,637
14449,5,241.5573,804,635
14450,5,241.5742,808,635
14451,5,241.5904,834,645
14452,5,241.6073,856,654
14453,5,241.6236,880,663
14454,5,241.64,915,676
14455,5,241.6569,921,678
14456,5,241.6734,920,679
14457,5,241.6899,919,680
14458,5,241.7066,919,681
14459,5,241.7228,919,682
14460,5,241.7393,919,685
14461,5,241.7563,919,685
14462,5,241.7729,922,686
14463,5,241.7891,922,685
14464,5,241.806,923,685
14465,5,241.8223,923,685
14466,5,241.8388,922,685
14467,5,241.8554,920,685
14468,5,241.8719,917,686
14469,5,241.8885,917,685
14470,5,241.9051,916,685
14471,5,241.9217,916,685
14472,6,241.9385,917,685
14473,6,241.9549,917,685
14474,6,241.9715,918,684
14475,6,241.9879,918,683
14476,6,242.0045,918,681
14477,6,242.021,918,681
14478,6,242.0376,918,681
14479,6,242.0542,919,682
14480,6,242.0707,920,685
14481,6,242.0874,921,686
14482,6,242.1039,924,687
14483,6,242.1204,925,687
14484,6,242.1369,923,687
14485,6,242.1544,922,687
14486,6,242.1701,919,686
14487,6,242.1866,919,685
14488,6,242.2032,919,685
14489,6,242.2203,920,685
14490,6,242.2363,920,683
14491,6,242.2529,920,683
14492,6,242.2699,908,681
14493,6,242.286,895,678
14494,6,242.3027,866,670
14495,6,242.3193,853,667
14496,6,242.3358,844,664
14497,6,242.3523,844,665
14498,6,242.3692,844,664
14499,6,242.3854,845,665

14500,6,242.4023,846,666
14501,6,242.4186,845,666
14502,6,242.4353,845,666
14503,6,242.4521,842,666
14504,6,242.4684,841,668
14505,6,242.4856,840,674
14506,6,242.5014,839,678
14507,6,242.5181,839,681
14508,6,242.5346,839,681
14509,6,242.5516,839,680
14510,6,242.5677,840,680
14511,6,242.5844,840,680
14512,6,242.6008,840,681
14513,6,242.6174,839,681
14514,6,242.6342,841,682
14515,6,242.6506,858,686
14516,6,242.6671,871,690
14517,6,242.6836,900,696
14518,6,242.7003,909,698
