ID,IMG,Time,X,Y
14400,5,240.4118,1310,1014
14401,5,240.4285,1311,1015
14402,5,240.4451,1311,1015
14403,5,240.4616,1308,1010
14404,5,240.4781,1307,1010
14405,5,240.495,1305,1017
14406,5,240.5113,1307,1020
14407,5,240.5279,1312,1010
14408,5,240.5444,1314,999
14409,5,240.561,1313,988
14410,5,240.5776,1311,990
14411,5,240.5942,1300,1008
14412,5,240.6107,1294,1013
14413,5,240.6273,1291,1004
14414,5,240.6438,1294,1002
14415,5,240.6605,1331,991
14416,5,240.6771,1368,972
14417,5,240.6937,1439,926
14418,5,240.7104,1452,906
14419,5,240.727,1457,890
14420,5,240.7437,1447,884
14421,5,240.76,1450,881
14422,5,240.7764,1452,884
14423,5,240.793,1449,894
14424,5,240.8094,1433,907
14425,5,240.8261,1429,912
14426,5,240.8425,1421,916
14427,5,240.8599,1415,911
14428,5,240.8759,1430,899
14429,5,240.8922,1445,893
14430,5,240.9088,1490,892
14431,5,240.9255,1515,893
14432,5,240.9419,1511,872
14433,5,240.9586,1511,861
14434,5,240.975,1504,843
14435,5,240.9918,1492,849
14436,5,241.0082,1492,883
14437,5,241.0247,1497,892
14438,5,241.0413,1501,871
14439,5,241.0578,1482,845
14440,5,241.0744,1217,773
14441,5,241.0911,1060,742
14442,5,241.1075,838,723
14443,5,241.1244,766,707
14444,5,241.141,706,678
14445,5,241.1573,690,666
14446,5,241.1739,676,661
14447,5,241.1905,676,663
14448,5,241.2069,676,664
14449,5,241.2235,678,664
14450,5,241.2401,685,662
14451,5,241.2566,687,663
14452,5,241.2732,689,666
14453,5,241.2901,689,668
14454,5,241.3063,689,667
14455,5,241.3229,694,679
14456,5,241.3395,705,707
14457,5,241.356,705,707
14458,5,241.3726,697,696
14459,5,241.3892,693,684
14460,5,241.4061,692,669
14461,5,241.4223,696,667
14462,5,241.439,701,671
14463,5,241.4561,701,676
14464,5,241.4722,702,682
14465,5,241.4886,702,680
14466,5,241.5052,698,674
14467,5,241.5227,694,670
14468,5,241.5384,689,664
14469,5,241.5553,688,664
14470,5,241.5714,696,664
14471,5,241.5882,702,662
14472,5,241.6048,716,656
14473,5,241.6212,723,653
14474,5,241.6377,733,647
14475,5,241.655,738,644
14476,5,241.6709,742,638
14477,6,241.6875,739,635
14478,6,241.704,733,638
14479,6,241.7206,730,643
14480,6,241.7374,730,648
14481,6,241.7539,733,649
14482,6,241.7704,735,648
14483,6,241.7869,738,640
14484,6,241.8036,738,638
14485,6,241.82,741,629
14486,6,241.8371,746,617
14487,6,241.8533,771,573
14488,6,241.87,786,550
14489,6,241.8863,803,527
14490,6,241.9028,805,529
14491,6,241.9195,823,556
14492,6,241.9359,830,569
14493,6,241.9526,827,574
14494,6,241.9691,814,566
14495,6,241.9861,786,547
14496,6,242.0025,785,546
14497,6,242.0188,789,545
14498,6,242.0358,792,545
14499,6,242.0522,811,561

14500,6,242.0686,819,568
14501,6,242.0851,814,567
14502,6,242.1017,800,550
14503,6,242.1182,758,476
14504,6,242.1347,737,435
14505,6,242.1513,695,365
14506,6,242.1679,683,352
14507,6,242.1843,678,354
14508,6,242.2009,682,357
14509,6,242.2175,689,371
14510,6,242.2341,689,378
14511,6,242.2508,688,379
14512,6,242.2672,688,373
14513,6,242.2841,683,361
14514,6,242.3005,680,363
14515,6,242.3174,679,369
14516,6,242.3335,689,371
14517,6,242.3502,754,371
14518,6,242.3667,793,366
14519,6,242.3832,858,359
14520,6,242.4004,870,360
14521,6,242.4165,869,367
14522,6,242.4333,869,371
14523,6,242.4495,869,371
14524,6,242.466,869,368
14525,6,242.4827,872,364
14526,6,242.4995,873,363
14527,6,242.5158,868,361
14528,6,242.5323,865,360
14529,6,242.5493,867,359
14530,6,242.5656,873,359
14531,6,242.582,879,359
14532,6,242.5986,873,365
14533,6,242.6152,837,440
14534,6,242.6317,818,505
14535,6,242.6484,792,619
14536,6,242.6651,786,660
14537,6,242.6818,771,669
14538,6,242.6981,762,674
14539,6,242.7147,758,691
14540,6,242.7312,762,694
14541,6,242.7478,770,696
14542,6,242.7643,769,695
14543,6,242.7809,765,693
14544,6,242.7974,751,692
14545,6,242.8141,748,694
14546,6,242.8306,732,656
14547,6,242.8474,708,595
14548,6,242.8638,656,461
14549,6,242.8809,612,371
14550,6,242.8971,614,369
14551,6,242.9134,614,371
14552,6,242.9307,620,377
14553,6,242.9465,622,379
14554,6,242.9631,618,379
14555,6,242.9797,617,378
14556,6,242.9965,617,375
14557,6,243.0127,617,373
14558,6,243.0293,593,338
14559,6,243.0459,573,310
14560,6,243.0626,529,258
14561,6,243.0792,516,243
14562,6,243.0958,506,233
14563,6,243.1122,506,233
14564,6,243.1288,512,234
14565,6,243.1454,515,238
14566,6,243.162,515,241
14567,6,243.1786,512,240
14568,6,243.1953,513,241
14569,6,243.212,515,241
14570,6,243.2282,523,251
14571,6,243.2448,526,257
14572,6,243.2613,535,261
14573,6,243.2779,539,261
14574,6,243.2949,550,283
14575,6,243.3111,557,309
14576,6,243.3276,581,352
